time,user,result,city,device,action,download_size
2025-07-17 11:10:38,Eva,success,Wien,PC,login,small
2025-07-17 12:17:28,Eva,success,Wien,Tablet,login,small
2025-07-17 17:01:13,Anna,fail,Wien,Tablet,login,small
2025-07-20 17:29:33,Eva,success,Wien,PC,login,small
2025-07-17 10:11:03,Eva,fail,Wien,PC,login,small
2025-07-17 09:54:53,Ben,fail,Wien,Handy,login,small
2025-07-19 17:45:15,Anna,success,Wien,Tablet,login,small
2025-07-19 13:28:53,Eva,success,Wien,Handy,login,small
2025-07-20 13:19:23,David,success,Berlin,PC,login,small
2025-07-19 13:00:52,Anna,success,Wien,Handy,login,small
2025-07-19 16:43:18,Anna,fail,Berlin,PC,login,small
2025-07-20 09:10:15,Eva,success,Berlin,Tablet,login,small
2025-07-20 16:53:56,David,fail,Berlin,Handy,login,small
2025-07-17 14:33:00,Anna,fail,Wien,PC,login,small
2025-07-17 17:22:26,Eva,success,Wien,Tablet,login,small
2025-07-18 09:31:18,Eva,fail,Wien,Tablet,login,small
2025-07-18 10:46:56,Ben,success,Berlin,Tablet,login,small
2025-07-17 11:50:48,David,fail,Berlin,PC,login,small
2025-07-18 15:52:35,Clara,fail,Wien,Tablet,login,small
2025-07-17 11:37:51,Ben,fail,Wien,PC,login,small
2025-07-19 14:50:42,David,fail,Berlin,Handy,login,small
2025-07-18 11:48:20,Anna,success,Berlin,Handy,login,small
2025-07-19 10:01:34,Ben,fail,Wien,PC,login,small
2025-07-20 11:16:26,Ben,success,Wien,Tablet,login,small
2025-07-18 14:02:33,Clara,fail,Wien,Tablet,login,small
2025-07-17 09:50:05,Eva,fail,Berlin,Tablet,login,small
2025-07-18 13:59:52,Clara,success,Wien,Tablet,login,small
2025-07-19 10:30:00,David,fail,Rom,PC,login,small
2025-07-17 16:39:14,Clara,success,Wien,Handy,login,small
2025-07-18 13:34:57,Anna,success,Berlin,Handy,login,small
2025-07-19 16:40:58,Clara,success,Wien,PC,login,small
2025-07-17 16:44:16,Ben,fail,Wien,Handy,login,small
2025-07-19 14:04:08,David,success,Berlin,Handy,login,small
2025-07-17 09:58:03,Eva,success,Wien,Tablet,login,small
2025-07-19 09:13:01,Eva,success,Wien,Handy,login,small
2025-07-17 11:44:05,Anna,success,Wien,Handy,login,small
2025-07-18 15:44:09,Ben,success,Berlin,Handy,login,small
2025-07-17 10:35:25,Anna,fail,Berlin,PC,login,small
2025-07-18 12:45:30,Anna,success,Wien,Tablet,login,small
2025-07-18 09:55:32,David,fail,Berlin,Handy,login,small
2025-07-17 15:32:54,David,success,Wien,PC,login,small
2025-07-19 11:21:43,Clara,fail,Wien,PC,login,small
2025-07-20 16:21:40,Eva,success,Wien,Handy,login,small
2025-07-18 10:09:00,Anna,fail,Wien,Tablet,login,small
2025-07-18 12:32:02,David,fail,Wien,Handy,login,small
2025-07-20 17:16:05,Clara,success,Berlin,Handy,login,small
2025-07-18 10:03:12,Anna,success,Berlin,PC,login,small
2025-07-19 14:19:27,Ben,success,Berlin,PC,login,small
2025-07-19 10:24:28,Clara,success,Wien,Handy,login,small
2025-07-18 11:23:59,David,fail,Berlin,PC,login,small
2025-07-18 15:11:55,Anna,fail,Wien,Handy,login,small
2025-07-20 15:20:11,David,success,Wien,PC,login,small
2025-07-17 09:04:29,Eva,success,Wien,Tablet,login,small
2025-07-20 11:28:10,Eva,success,Wien,Tablet,login,small
2025-07-19 10:09:23,David,fail,Wien,Handy,login,small
2025-07-17 15:08:24,David,success,Wien,Tablet,login,small
2025-07-18 12:22:01,Clara,fail,Berlin,Tablet,login,small
2025-07-19 11:43:10,Eva,success,Wien,Tablet,login,small
2025-07-19 13:54:16,Anna,success,Wien,PC,login,small
2025-07-20 11:31:39,David,success,Wien,Handy,login,small
2025-07-20 17:01:38,Eva,success,Wien,PC,login,small
2025-07-20 11:41:36,Anna,success,Berlin,PC,login,small
2025-07-18 14:53:44,Eva,fail,Wien,Tablet,login,small
2025-07-20 09:52:14,David,success,Berlin,Tablet,login,small
2025-07-20 16:43:24,Eva,success,Berlin,Tablet,login,small
2025-07-18 09:59:32,Ben,success,Wien,Tablet,login,small
2025-07-18 15:55:46,Clara,success,Wien,Handy,login,small
2025-07-17 17:30:29,Eva,success,Berlin,Handy,login,small
2025-07-18 14:15:42,Clara,fail,Wien,Tablet,login,small
2025-07-20 16:07:29,David,fail,Berlin,PC,login,small
2025-07-18 11:59:34,Clara,success,Berlin,Handy,login,small
2025-07-17 10:39:48,Clara,success,Berlin,Handy,login,small
2025-07-19 10:54:33,Clara,fail,Wien,Handy,login,small
2025-07-19 16:14:44,Clara,fail,Wien,PC,login,small
2025-07-20 14:01:55,Anna,fail,Wien,PC,login,small
2025-07-19 16:54:10,Clara,success,Wien,PC,login,small
2025-07-18 11:14:43,Ben,success,Wien,PC,login,small
2025-07-18 11:00:42,Anna,fail,Berlin,PC,login,small
2025-07-19 15:41:33,Eva,success,Wien,PC,login,small
2025-07-17 13:08:52,Ben,fail,Wien,Tablet,login,small
2025-07-17 14:47:24,Eva,success,Wien,Handy,login,small
2025-07-18 16:58:46,Anna,success,Berlin,PC,login,small
2025-07-19 15:56:39,Eva,success,Berlin,PC,login,small
2025-07-20 14:23:26,Eva,success,Berlin,Tablet,login,small
2025-07-19 15:39:19,Eva,success,Wien,Tablet,login,small
2025-07-17 14:40:15,Anna,fail,Wien,Handy,login,small
2025-07-20 02:33:00,Clara,success,Wien,PC,download,large
2025-07-17 12:32:29,Ben,success,Berlin,Tablet,login,small
2025-07-18 13:53:57,David,fail,Berlin,Tablet,login,small
2025-07-20 17:32:53,Anna,success,Wien,PC,login,small
2025-07-19 13:02:12,Anna,success,Wien,Tablet,login,small
2025-07-19 15:14:39,Ben,success,Wien,Handy,login,small
2025-07-20 10:45:06,David,success,Berlin,Handy,login,small
2025-07-19 11:05:59,Clara,success,Wien,PC,login,small
2025-07-18 09:30:35,Clara,fail,Berlin,Handy,login,small
2025-07-20 16:18:08,Eva,success,Wien,PC,login,small
2025-07-18 17:28:30,Anna,success,Wien,PC,login,small
2025-07-19 12:34:43,Clara,fail,Wien,Handy,login,small
2025-07-19 10:52:09,David,fail,Wien,Tablet,login,small
2025-07-17 17:33:12,David,fail,Wien,PC,login,small
2025-07-18 17:20:41,David,fail,Wien,Tablet,login,small
2025-07-19 11:39:22,Clara,fail,Berlin,Handy,login,small
2025-07-17 10:40:39,Eva,success,Berlin,PC,login,small
2025-07-17 12:39:11,David,success,Wien,Tablet,login,small
2025-07-20 11:44:34,Ben,fail,Wien,Tablet,login,small
2025-07-17 16:47:52,Eva,success,Wien,Tablet,login,small
2025-07-18 10:32:20,Anna,success,Wien,Tablet,login,small
2025-07-17 11:41:42,Ben,success,Wien,Handy,login,small
2025-07-17 10:48:15,Clara,success,Wien,PC,login,small
2025-07-17 11:26:50,Eva,success,Berlin,PC,login,small
2025-07-20 16:27:19,Anna,success,Wien,Handy,login,small
2025-07-18 10:40:02,Clara,fail,Wien,Handy,login,small
2025-07-18 12:55:00,David,fail,Rom,Tablet,login,small
2025-07-20 17:36:06,Ben,fail,Berlin,Handy,login,small
2025-07-20 12:10:07,Anna,success,Berlin,Tablet,login,small
2025-07-19 14:33:38,Eva,success,Berlin,Tablet,login,small
2025-07-17 11:22:48,Anna,fail,Wien,PC,login,small
2025-07-19 16:25:00,Ben,fail,Berlin,PC,login,small
2025-07-19 09:24:22,Clara,fail,Wien,Tablet,login,small
2025-07-20 14:48:13,Eva,success,Wien,Tablet,login,small
2025-07-19 13:04:37,Eva,success,Wien,Tablet,login,small
2025-07-19 10:08:32,Ben,success,Wien,Handy,login,small
2025-07-17 14:51:19,Clara,success,Berlin,PC,login,small
2025-07-18 14:20:15,Anna,fail,Berlin,Tablet,login,small
2025-07-19 10:27:35,Ben,success,Berlin,Handy,login,small
2025-07-19 15:43:33,David,success,Wien,PC,login,small
2025-07-19 10:35:32,Clara,success,Wien,Handy,login,small
2025-07-19 10:30:46,Ben,fail,Berlin,PC,login,small
2025-07-18 16:24:15,Eva,success,Berlin,PC,login,small
2025-07-19 11:45:36,Ben,fail,Wien,PC,login,small
2025-07-19 17:00:12,Anna,fail,Wien,PC,login,small
2025-07-17 14:46:27,Clara,fail,Berlin,Tablet,login,small
2025-07-20 09:25:47,Anna,success,Wien,Tablet,login,small
2025-07-20 02:30:00,Clara,success,Wien,PC,login,small
2025-07-17 13:58:48,Eva,success,Wien,Handy,login,small
2025-07-19 14:31:58,Anna,fail,Wien,Tablet,login,small
2025-07-20 09:07:07,Anna,success,Wien,PC,login,small
2025-07-18 10:27:07,David,success,Berlin,Tablet,login,small
2025-07-17 16:13:14,Anna,fail,Wien,PC,login,small
2025-07-18 12:18:23,Eva,fail,Wien,Tablet,login,small
2025-07-19 12:29:00,David,fail,Wien,Handy,login,small
2025-07-18 11:33:13,Ben,fail,Wien,PC,login,small
2025-07-18 14:59:50,Clara,success,Wien,Tablet,login,small
2025-07-17 10:46:29,Eva,success,Berlin,Handy,login,small
2025-07-18 14:47:57,Anna,fail,Berlin,Tablet,login,small
2025-07-20 16:54:56,David,fail,Wien,Handy,login,small
2025-07-19 10:30:50,Anna,success,Wien,PC,login,small
2025-07-17 13:13:52,Clara,fail,Berlin,Handy,login,small
2025-07-18 13:45:16,Clara,fail,Berlin,Handy,login,small
2025-07-18 09:46:48,Eva,success,Berlin,PC,login,small
2025-07-20 17:02:41,Anna,fail,Wien,PC,login,small
2025-07-20 11:00:32,Clara,success,Berlin,PC,login,small
2025-07-18 14:20:00,Ben,fail,Berlin,Handy,login,small
2025-07-19 16:41:58,Clara,success,Wien,Tablet,login,small
2025-07-19 16:27:55,Eva,fail,Wien,PC,login,small
2025-07-20 13:00:55,Ben,success,Wien,Handy,login,small
2025-07-17 09:04:18,Eva,success,Wien,PC,login,small
2025-07-20 10:37:11,David,fail,Wien,Tablet,login,small
2025-07-18 09:01:24,Ben,success,Wien,PC,login,small
2025-07-18 17:40:12,David,fail,Wien,PC,login,small
2025-07-18 17:56:00,Ben,success,Wien,PC,login,small
2025-07-18 10:59:56,David,fail,Wien,Handy,login,small
2025-07-19 10:43:21,Anna,fail,Wien,PC,login,small
2025-07-19 13:22:00,Anna,fail,Berlin,Tablet,login,small
2025-07-17 17:53:41,David,fail,Wien,Handy,login,small
2025-07-19 17:14:40,Clara,success,Wien,Handy,login,small
2025-07-18 14:03:21,Clara,success,Wien,PC,login,small
2025-07-18 12:02:04,Ben,fail,Wien,PC,login,small
2025-07-18 11:20:36,Eva,success,Berlin,Handy,login,small
2025-07-20 10:13:05,Eva,success,Wien,Tablet,login,small
2025-07-19 15:16:08,Anna,success,Wien,Tablet,login,small
2025-07-18 12:57:38,Eva,fail,Wien,Tablet,login,small
2025-07-20 10:24:39,Eva,fail,Wien,PC,login,small
2025-07-18 15:21:00,David,fail,Rom,Handy,login,small
2025-07-17 17:02:22,Anna,fail,Berlin,PC,login,small
2025-07-20 14:21:39,Anna,fail,Wien,Tablet,login,small
2025-07-19 15:15:06,Eva,success,Berlin,Handy,login,small
2025-07-18 13:17:48,Anna,success,Wien,Tablet,login,small
2025-07-18 15:38:34,Ben,success,Wien,Tablet,login,small
2025-07-17 11:43:00,Anna,success,Wien,Handy,login,small
2025-07-17 11:57:56,Eva,success,Wien,Handy,login,small
2025-07-20 16:23:48,Anna,fail,Wien,PC,login,small
2025-07-19 09:22:15,Eva,success,Wien,Tablet,login,small
2025-07-19 12:31:54,Eva,success,Wien,Tablet,login,small
2025-07-18 15:32:48,Anna,fail,Wien,Tablet,login,small
2025-07-19 09:46:13,Anna,success,Wien,Handy,login,small
2025-07-19 14:01:40,David,success,Wien,Handy,login,small
2025-07-19 09:31:18,Clara,success,Berlin,PC,login,small
2025-07-18 15:05:50,Clara,success,Wien,PC,login,small
2025-07-20 14:38:55,Eva,fail,Wien,Handy,login,small
2025-07-19 09:38:39,Anna,success,Wien,Tablet,login,small
2025-07-20 14:55:14,Clara,fail,Wien,PC,login,small
2025-07-18 12:45:56,Ben,success,Berlin,Tablet,login,small
2025-07-17 10:27:08,David,success,Wien,PC,login,small
2025-07-20 13:07:23,David,success,Wien,Handy,login,small
2025-07-17 13:41:02,Clara,success,Berlin,PC,login,small
2025-07-19 12:55:47,Anna,success,Wien,Tablet,login,small
2025-07-18 17:48:05,Anna,success,Wien,Handy,login,small
2025-07-19 16:58:49,Ben,success,Wien,Tablet,login,small
2025-07-17 11:06:34,Anna,fail,Wien,Handy,login,small
2025-07-19 17:28:16,David,success,Wien,PC,login,small
2025-07-17 16:59:45,David,success,Wien,PC,login,small
2025-07-19 10:02:35,Clara,success,Berlin,Tablet,login,small
2025-07-18 14:38:17,Clara,success,Wien,PC,login,small
2025-07-17 12:16:08,Ben,fail,Wien,PC,login,small
2025-07-19 16:11:52,Anna,success,Wien,Tablet,login,small
2025-07-18 17:35:32,Anna,success,Berlin,PC,login,small
2025-07-19 16:37:05,Eva,success,Wien,Handy,login,small
2025-07-18 16:39:42,Clara,success,Berlin,PC,login,small
2025-07-18 17:51:15,Eva,fail,Wien,Handy,login,small
2025-07-19 12:54:46,Anna,success,Wien,Tablet,login,small
2025-07-17 13:21:35,Anna,success,Wien,Tablet,login,small
2025-07-17 14:57:31,Anna,success,Wien,Handy,login,small
2025-07-17 17:19:52,Ben,success,Wien,Handy,login,small
2025-07-18 12:47:44,Anna,success,Berlin,PC,login,small
2025-07-19 12:44:42,David,success,Wien,Handy,login,small
2025-07-18 14:06:31,Eva,success,Berlin,Handy,login,small
2025-07-20 09:04:50,Ben,fail,Wien,Tablet,login,small
2025-07-19 09:41:23,Anna,success,Berlin,Tablet,login,small
2025-07-19 09:56:43,David,success,Berlin,Tablet,login,small
2025-07-18 15:09:40,Ben,fail,Wien,Tablet,login,small
2025-07-17 13:33:40,Eva,fail,Wien,Handy,login,small
2025-07-18 14:48:00,Ben,fail,Berlin,PC,login,small
2025-07-19 15:27:26,David,success,Berlin,Handy,login,small
2025-07-18 16:46:29,Anna,fail,Wien,Tablet,login,small
2025-07-18 11:22:46,Eva,success,Berlin,PC,login,small
2025-07-20 09:07:06,Ben,fail,Wien,Tablet,login,small
2025-07-20 09:53:00,Eva,fail,Wien,PC,login,small
2025-07-17 17:39:01,Ben,fail,Berlin,Handy,login,small
2025-07-19 10:51:10,Anna,fail,Berlin,Tablet,login,small
2025-07-17 09:27:06,Clara,fail,Wien,PC,login,small
2025-07-19 16:27:00,Eva,fail,Paris,Handy,login,small
2025-07-19 11:37:03,Clara,success,Wien,PC,login,small
2025-07-18 10:05:34,Eva,success,Wien,PC,login,small
2025-07-19 11:34:11,Ben,fail,Wien,Tablet,login,small
2025-07-18 09:43:31,Anna,success,Wien,Handy,login,small
2025-07-19 14:02:52,Eva,success,Wien,Tablet,login,small
2025-07-18 16:37:27,David,fail,Wien,Tablet,login,small
2025-07-17 09:21:35,David,success,Wien,Tablet,login,small
2025-07-20 16:04:44,Clara,fail,Wien,Handy,login,small
2025-07-18 16:52:18,Anna,success,Wien,Handy,login,small
2025-07-20 14:57:44,Eva,success,Berlin,Tablet,login,small
2025-07-19 12:49:27,Anna,success,Wien,Tablet,login,small
2025-07-18 17:49:39,Anna,success,Berlin,Handy,login,small
2025-07-17 10:19:07,Anna,success,Berlin,Handy,login,small
2025-07-20 09:02:46,Eva,success,Wien,Handy,login,small
2025-07-20 11:02:34,Clara,fail,Wien,PC,login,small
2025-07-17 17:24:55,Anna,success,Wien,PC,login,small
2025-07-17 11:19:31,Eva,success,Wien,Tablet,login,small
2025-07-19 13:21:08,David,success,Berlin,PC,login,small
2025-07-19 15:08:26,Anna,success,Wien,PC,login,small
2025-07-18 13:13:00,Eva,fail,Paris,PC,login,small
2025-07-19 10:14:16,Anna,success,Wien,Handy,login,small
2025-07-18 10:09:12,Clara,success,Wien,PC,login,small
2025-07-20 14:43:09,Anna,fail,Berlin,Handy,login,small
2025-07-17 14:02:57,Eva,success,Wien,PC,login,small
2025-07-19 15:28:39,Anna,success,Berlin,Tablet,login,small
2025-07-19 10:06:59,Clara,success,Wien,Handy,login,small
2025-07-20 17:11:30,Clara,success,Wien,Tablet,login,small
2025-07-17 14:52:50,Anna,success,Wien,Tablet,login,small
2025-07-17 09:45:21,Anna,fail,Berlin,Tablet,login,small
2025-07-19 12:17:33,David,success,Wien,Tablet,login,small
2025-07-20 14:45:34,Clara,success,Wien,Tablet,login,small
2025-07-18 09:07:31,Eva,success,Wien,Handy,login,small
2025-07-18 11:53:35,Clara,success,Wien,PC,login,small
2025-07-18 14:27:23,Eva,fail,Berlin,PC,login,small
2025-07-18 15:08:29,David,fail,Berlin,Handy,login,small
2025-07-19 11:23:06,Anna,fail,Wien,Tablet,login,small
2025-07-19 17:52:40,Eva,success,Wien,PC,login,small
2025-07-18 16:53:18,Clara,success,Wien,Handy,login,small
2025-07-19 13:47:06,David,success,Wien,Handy,login,small
2025-07-20 10:24:42,Ben,success,Berlin,PC,login,small
2025-07-20 12:25:52,Eva,success,Wien,Handy,login,small
2025-07-19 09:59:44,Eva,success,Wien,Handy,login,small
2025-07-19 12:16:37,Clara,success,Wien,PC,login,small
2025-07-20 17:48:15,Ben,success,Berlin,Tablet,login,small
2025-07-20 15:26:17,Ben,fail,Wien,Handy,login,small
2025-07-20 13:48:27,Clara,success,Wien,Handy,login,small
2025-07-20 13:31:56,David,success,Wien,Handy,login,small
2025-07-18 11:42:26,Eva,success,Berlin,Handy,login,small
2025-07-20 09:34:16,David,success,Wien,Handy,login,small
2025-07-19 09:39:17,Ben,fail,Berlin,Tablet,login,small
2025-07-19 14:53:29,Clara,success,Berlin,Tablet,login,small
2025-07-18 15:02:20,David,success,Wien,Tablet,login,small
2025-07-19 15:56:39,Eva,fail,Wien,Tablet,login,small
2025-07-17 17:08:05,Clara,fail,Wien,Tablet,login,small
2025-07-18 14:25:10,David,success,Wien,Handy,login,small
2025-07-17 10:02:35,David,fail,Wien,Tablet,login,small
2025-07-19 10:40:16,David,success,Wien,PC,login,small
2025-07-19 10:50:38,Ben,success,Wien,PC,login,small
2025-07-20 17:46:17,Eva,fail,Wien,Handy,login,small
2025-07-18 10:10:32,Clara,success,Wien,PC,login,small
2025-07-18 14:59:34,Ben,success,Berlin,PC,login,small
2025-07-18 16:29:16,Anna,success,Berlin,Handy,login,small
2025-07-17 17:48:23,Anna,success,Berlin,PC,login,small
2025-07-19 17:23:20,Anna,fail,Berlin,Tablet,login,small
2025-07-19 09:20:43,Anna,fail,Berlin,Tablet,login,small
2025-07-19 09:24:16,Ben,success,Berlin,Handy,login,small
2025-07-20 10:59:49,Clara,success,Berlin,PC,login,small
2025-07-18 12:23:24,David,success,Wien,PC,login,small
2025-07-17 17:37:31,Eva,success,Wien,PC,login,small
2025-07-20 17:44:47,Eva,fail,Wien,Tablet,login,small
2025-07-18 16:46:28,Anna,success,Berlin,Tablet,login,small
2025-07-18 12:46:29,David,success,Wien,Tablet,login,small
2025-07-17 16:34:02,Eva,success,Wien,Tablet,login,small
2025-07-18 11:59:56,Clara,success,Wien,Handy,login,small
2025-07-18 12:11:48,Clara,fail,Wien,Handy,login,small
2025-07-20 14:36:06,Ben,success,Berlin,PC,login,small
2025-07-17 13:27:46,Clara,success,Wien,Handy,login,small
2025-07-19 14:25:33,Clara,success,Wien,Tablet,login,small
2025-07-18 10:38:59,David,success,Wien,Handy,login,small
2025-07-19 14:18:23,David,success,Berlin,PC,login,small
2025-07-18 12:59:57,David,success,Wien,PC,login,small
2025-07-19 12:39:04,David,fail,Berlin,Handy,login,small
2025-07-18 16:34:33,David,success,Wien,Handy,login,small
2025-07-19 17:12:49,David,success,Wien,Handy,login,small
2025-07-18 09:20:30,Anna,success,Wien,Tablet,login,small
2025-07-19 17:52:26,Ben,success,Berlin,Handy,login,small
2025-07-17 11:17:29,Clara,success,Wien,Handy,login,small
2025-07-17 16:37:43,Ben,success,Wien,PC,login,small
2025-07-18 17:51:15,Clara,success,Wien,Handy,login,small
2025-07-18 13:22:01,Clara,success,Wien,Tablet,login,small
2025-07-17 12:12:57,Anna,fail,Wien,Tablet,login,small
2025-07-20 13:47:41,Clara,success,Wien,Tablet,login,small
2025-07-18 09:44:50,Anna,fail,Berlin,PC,login,small
2025-07-17 10:35:54,Clara,success,Wien,Tablet,login,small
2025-07-18 12:47:11,Anna,success,Berlin,Tablet,login,small
2025-07-18 16:02:40,Clara,success,Berlin,Handy,login,small
2025-07-20 15:31:23,Clara,fail,Wien,Tablet,login,small
2025-07-19 09:55:26,Clara,success,Berlin,Tablet,login,small
2025-07-20 09:15:51,Clara,success,Wien,PC,login,small
2025-07-18 17:33:19,David,success,Wien,Tablet,login,small
2025-07-19 09:41:27,Ben,success,Wien,Handy,login,small
2025-07-19 10:49:16,David,success,Wien,Handy,login,small
2025-07-18 12:28:38,Ben,success,Wien,Handy,login,small
2025-07-19 12:24:22,Clara,success,Wien,Tablet,login,small
2025-07-19 16:53:34,Clara,fail,Wien,Handy,login,small
2025-07-17 17:32:34,Clara,success,Wien,Tablet,login,small
2025-07-20 17:44:35,Anna,success,Wien,Handy,login,small
2025-07-20 09:57:50,Clara,success,Wien,PC,login,small
2025-07-18 13:04:33,David,success,Wien,Tablet,login,small
2025-07-17 14:21:52,Ben,success,Berlin,Tablet,login,small
2025-07-19 09:48:21,Eva,success,Wien,PC,login,small
2025-07-20 14:48:17,Ben,success,Berlin,PC,login,small
2025-07-19 10:02:46,Eva,success,Wien,Tablet,login,small
2025-07-19 16:53:54,Ben,success,Berlin,Tablet,login,small
2025-07-18 12:32:47,Eva,success,Wien,PC,login,small
2025-07-18 14:51:48,Ben,fail,Berlin,Tablet,login,small
2025-07-18 10:45:12,Anna,fail,Wien,Tablet,login,small
2025-07-18 13:43:28,David,success,Wien,Handy,login,small
2025-07-18 15:15:04,David,fail,Wien,Handy,login,small
2025-07-19 17:54:06,Eva,success,Berlin,PC,login,small
2025-07-18 11:38:53,Clara,success,Wien,PC,login,small
2025-07-17 09:08:18,Anna,success,Wien,PC,login,small
2025-07-20 16:36:06,Clara,fail,Berlin,PC,login,small
